Line    | Lexeme         | Token Type
41      | )              | BRACE
41      | {              | BRACE
42      | result         | IDENTIFIER
42      | =              | ASSIGNMENT_OP
42      | z              | IDENTIFIER
42      | *              | MULOP
42      | 1.5            | CONSTANT
42      | ;              | SEMICOLON
43      | }              | BRACE
43      | Otherwise      | CONDITION
43      | {              | BRACE
44      | result         | IDENTIFIER
44      | =              | ASSIGNMENT_OP
44      | z              | IDENTIFIER
44      | /              | MULOP
44      | 2.0            | CONSTANT
44      | ;              | SEMICOLON
45      | }              | BRACE
46      | counter        | IDENTIFIER
46      | =              | ASSIGNMENT_OP
46      | 0              | CONSTANT
46      | ;              | SEMICOLON
47      | RepeatWhen     | LOOP
47      | (              | BRACE
47      | counter        | IDENTIFIER
47      | <              | RELATIONAL_OP
47      | 5              | CONSTANT
47      | )              | BRACE
47      | {              | BRACE
48      | counter        | IDENTIFIER
48      | =              | ASSIGNMENT_OP
48      | counter        | IDENTIFIER
48      | +              | ADDOP
48      | 1              | CONSTANT
48      | ;              | SEMICOLON
50      | IfTrue         | CONDITION
50      | (              | BRACE
50      | counter        | IDENTIFIER
50      | ==             | RELATIONAL_OP
50      | 3              | CONSTANT
50      | )              | BRACE
50      | {              | BRACE
51      | OutLoop        | BREAK
51      | ;              | SEMICOLON
52      | }              | BRACE
53      | }              | BRACE
55      | Reiterate      | LOOP
55      | (              | BRACE
55      | Imw            | INTEGER
55      | i              | IDENTIFIER
55      | =              | ASSIGNMENT_OP
55      | 0              | CONSTANT
55      | ;              | SEMICOLON
55      | i              | IDENTIFIER
55      | <              | RELATIONAL_OP
55      | 10             | CONSTANT
55      | ;              | SEMICOLON
55      | i              | IDENTIFIER
55      | =              | ASSIGNMENT_OP
55      | i              | IDENTIFIER
55      | +              | ADDOP
55      | 1              | CONSTANT
55      | )              | BRACE
55      | {              | BRACE
56      | IfTrue         | CONDITION
56      | (              | BRACE
56      | greeting       | IDENTIFIER
56      | [              | BRACE
56      | i              | IDENTIFIER
56      | ]              | BRACE
56      | -              | ADDOP
56      | 2              | CONSTANT
56      | ==             | RELATIONAL_OP
56      | 0              | CONSTANT
56      | )              | BRACE
56      | {              | BRACE
57      | Imw            | INTEGER
57      | t              | IDENTIFIER
57      | ;              | SEMICOLON
58      | }              | BRACE
59      | }              | BRACE
61      | person1        | IDENTIFIER
61      | ->             | ACCESS_OP
61      | age            | IDENTIFIER
61      | =              | ASSIGNMENT_OP
61      | 25             | CONSTANT
61      | ;              | SEMICOLON
62      | person1        | IDENTIFIER
62      | ->             | ACCESS_OP
62      | name           | IDENTIFIER
62      | =              | ASSIGNMENT_OP
62      | "John Doe"     | STRING_LITERAL
62      | ;              | SEMICOLON
63      | person1        | IDENTIFIER
63      | ->             | ACCESS_OP
63      | height         | IDENTIFIER
63      | =              | ASSIGNMENT_OP
63      | 175.5          | CONSTANT
63      | ;              | SEMICOLON
65      | Turnback       | RETURN
65      | 0              | CONSTANT
65      | ;              | SEMICOLON
66      | }              | BRACE
66      |                | EOF_TOKEN

Total Number of lexical errors: 0

Parser Results:
--------------------------------------------------
Line : 1 Matched Rule used: Comment
Line : 3 Matched Rule used: Comment
Line : 6 Matched Rule used: jump-stmt
Line : 5 Matched Rule used: compound-stmt
Line : 8 Matched Rule used: jump-stmt
Line : 7 Matched Rule used: compound-stmt
Line : 5 Matched Rule used: selection-stmt
Line : 4 Matched Rule used: fun-declaration
Line : 12 Matched Rule used: Comment
Line : 15 Matched Rule used: jump-stmt
Line : 14 Matched Rule used: compound-stmt
Line : 17 Matched Rule used: jump-stmt
Line : 16 Matched Rule used: compound-stmt
Line : 14 Matched Rule used: selection-stmt
Line : 13 Matched Rule used: fun-declaration
Line : 21 Matched Rule used: Comment
Line : 24 Matched Rule used: jump-stmt
Line : 23 Matched Rule used: compound-stmt
Line : 26 Matched Rule used: jump-stmt
Line : 25 Matched Rule used: compound-stmt
Line : 23 Matched Rule used: selection-stmt
Line : 22 Matched Rule used: fun-declaration
Line : 30 Matched Rule used: Comment
Line : 33 Matched Rule used: jump-stmt
Line : 32 Matched Rule used: compound-stmt
Line : 35 Matched Rule used: jump-stmt
Line : 34 Matched Rule used: compound-stmt
Line : 32 Matched Rule used: selection-stmt
Line : 31 Matched Rule used: fun-declaration
Line : 39 Matched Rule used: Comment
Line : 41 Matched Rule used: Comment
Line : 40 Matched Rule used: fun-declaration
Line : 45 Matched Rule used: Comment
Line : 46 Matched Rule used: struct-declaration
Line : 51 Matched Rule used: Comment
Line : 53 Matched Rule used: expression-stmt
Line : 54 Matched Rule used: expression-stmt
Line : 52 Matched Rule used: fun-declaration
Line : 1 Matched Rule used: Comment
Line : 6 Matched Rule used: Comment
Line : 7 Matched Rule used: include_command
Line : 9 Matched Rule used: Comment
Line : 10 Matched Rule used: var-declaration
Line : 11 Matched Rule used: var-declaration
Line : 12 Matched Rule used: var-declaration
Line : 13 Matched Rule used: var-declaration
Line : 14 Matched Rule used: var-declaration
Line : 15 Matched Rule used: var-declaration
Line : 17 Matched Rule used: Comment
Line : 18 Matched Rule used: struct-declaration
Line : 24 Matched Rule used: Comment
Line : 26 Matched Rule used: jump-stmt
Line : 25 Matched Rule used: fun-declaration
Line : 28 Matched Rule used: Comment
Line : 30 Matched Rule used: Comment
Line : 40 Matched Rule used: expression-stmt
Line : 42 Matched Rule used: expression-stmt
Line : 41 Matched Rule used: compound-stmt
Line : 44 Matched Rule used: expression-stmt
Line : 43 Matched Rule used: compound-stmt
Line : 41 Matched Rule used: selection-stmt
Line : 46 Matched Rule used: expression-stmt
Line : 48 Matched Rule used: expression-stmt
Line : 51 Matched Rule used: jump-stmt
Line : 50 Matched Rule used: compound-stmt
Line : 50 Matched Rule used: selection-stmt
Line : 47 Matched Rule used: compound-stmt
Line : 47 Matched Rule used: iteration-stmt
Line : 56 Matched Rule used: compound-stmt
Line : 56 Matched Rule used: selection-stmt
Line : 55 Matched Rule used: compound-stmt
Line : 55 Matched Rule used: iteration-stmt
Line : 61 Matched Rule used: expression-stmt
Line : 62 Matched Rule used: expression-stmt
Line : 63 Matched Rule used: expression-stmt
Line : 65 Matched Rule used: jump-stmt
Line : 29 Matched Rule used: fun-declaration
Total NO of errors: 0
